,INS_NM,JAB_NM,JENIS_FORMASI_NM,JUM_PENDAFTAR,JUM_PERJAB,LINK_WEB_INS_DAFTAR,LOKASI_NM,PENDIDIKAN_NM,ROWNUM
0,Pemerintah Kab. Minahasa,GURU PENJAS AHLI PERTAMA,UMUM,0,1,,SDN SASARAN,S-1 PENDIDIKAN JASMANI DAN KESEHATAN,1
1,Pemerintah Kab. Minahasa,GURU PENJAS AHLI PERTAMA,UMUM,0,1,,SD INPRES 1 TONSEALAMA,S-1 PENDIDIKAN JASMANI DAN KESEHATAN,2
2,Pemerintah Kab. Minahasa,GURU PENJAS AHLI PERTAMA,UMUM,0,1,,SD INPRES 4(82 LEMOH,S-1 PENDIDIKAN JASMANI DAN KESEHATAN,3
3,Pemerintah Kab. Kepulauan Sangihe,GURU AGAMA ISLAM AHLI PERTAMA,UMUM,0,1,,SDN INPRES NIPA,S-1 PENDIDIKAN AGAMA ISLAM,4
4,Pemerintah Kab. Kepulauan Sangihe,GURU AGAMA ISLAM AHLI PERTAMA,UMUM,0,1,,SDN BAHEMBANG RAKU,S-1 PENDIDIKAN AGAMA ISLAM,5
5,Pemerintah Kab. Kepulauan Sangihe,DOKTER SPESIALIS PENYAKIT DALAM AHLI PERTAMA,UMUM,0,1,,RS TIPE D PRATAMA,S-1 DOKTER SPESIALIS PENYAKIT DALAM,6
6,Pemerintah Kab. Kepulauan Sangihe,DOKTER GIGI AHLI PERTAMA,UMUM,0,1,,PKM DAGHO,DOKTER GIGI,7
7,Pemerintah Kab. Kepulauan Sangihe,DOKTER GIGI AHLI PERTAMA,UMUM,0,1,,PKM MARORE,DOKTER GIGI,8
8,Pemerintah Kab. Kepulauan Sangihe,ASISTEN APOTEKER TERAMPIL,UMUM,0,1,,PKM PINTARENG,D-III FARMASI,9
9,Pemerintah Kab. Kepulauan Sangihe,PERAWAT AHLI PERTAMA,UMUM,0,3,,RSD LIUNKENDAGE,S-1 KEPERAWATAN (NERS),10
10,Pemerintah Kab. Kepulauan Sangihe,PERAWAT TERAMPIL,UMUM,0,2,,PKM TAMAKO,D-III KEPERAWATAN,11
11,Pemerintah Kab. Kepulauan Sangihe,PERAWAT TERAMPIL,UMUM,0,1,,PKM SALURANG,D-III KEPERAWATAN,12
12,Pemerintah Kab. Kepulauan Sangihe,ANALIS KEPEMUDAAN,UMUM,0,1,,DINAS KEPEMUDAAN DAN OLAHRAGA,S-1 MANAJEMEN SOSIOLOGI,13
